accession,tax_id,strain,assembly_level,collection_date,geo_location,host,bioproject_id,biosample_id,source_type,title,year_clean,country_clean,host_clean,diversity_group
GCF_033725995.1,562,2023CK-01341,Complete Genome,10/18/23,USA,Homo sapiens,PRJNA812595,SAMN38251294,urine,Pathogen: clinical or host-associated sample from Escherichia coli,10/18/23,USA,human,USA_human_10/18/23
GCA_022558405.1,562,Z503,Complete Genome,8/14/18,China: Zhejiang,Homo sapiens,PRJNA791555,SAMN24295374,,Microbe sample from Escherichia coli,8/14/18,China,human,China_human_8/14/18
GCF_001455385.1,562,CQSW20,Complete Genome,9/15/07,China: Chongqing,Homo sapiens,PRJNA303642,SAMN04288058,,Microbe sample from Escherichia coli,9/15/07,China,human,China_human_9/15/07
GCF_052884205.1,562,Xuzhou21,Complete Genome,1999,China,Homo sapiens,,SAMN44480235,,Microbe sample from Escherichia coli,1999,China,human,China_human_1999
GCF_027925785.1,562,NIID080884,Complete Genome,2008,Japan,Homo sapiens,PRJDB14896,SAMD00562887,missing,Escherichia coli strain NIID080884,2008,Japan,human,Japan_human_2008
GCA_022846235.1,562,Rb-23,Complete Genome,1/1/17,Japan,Homo sapiens,PRJDB12453,SAMD00411242,,Escherichia coli Rb-23 Genome sequencing and assembly,1/1/17,Japan,human,Japan_human_1/1/17
GCF_040616285.1,562,EC554,Complete Genome,12/19/23,Spain,Homo sapiens,PRJNA1129355,SAMN42151356,rectal swabs,Pathogen: clinical or host-associated sample from Escherichia coli,12/19/23,Spain,human,Spain_human_12/19/23
GCA_008064935.1,562,90-9133,Complete Genome,1988,Bangladesh,Homo sapiens,PRJNA218110,SAMN09262346,missing,Pathogen: clinical or host-associated sample from Escherichia coli,1988,Bangladesh,human,Bangladesh_human_1988
GCA_025757665.1,562,,Complete Genome,2021,South Korea:Seoul,Homo sapiens,PRJNA798244,SAMN31100334,feces,MIMAG Metagenome-assembled Genome sample from Escherichia coli,2021,South Korea,human,South Korea_human_2021
GCA_022493135.1,562,A40,Complete Genome,1999,Mexico,deer,PRJNA293615,SAMN04100063,feces,Microbe sample from Escherichia coli,1999,Mexico,non-human,Mexico_non-human_1999
GCF_009363035.1,562,LAU-OXA,Complete Genome,2017-12,Lebanon,Homo sapiens,PRJNA577178,SAMN13021417,,Microbe sample from Escherichia coli,2017,Lebanon,human,Lebanon_human_2017
GCA_009873375.1,562,NCCP 15955,Complete Genome,1/1/14,South Korea: Jeonnam,Homo sapiens,PRJNA555176,SAMN12302778,stool,Pathogen: clinical or host-associated sample from Escherichia coli,1/1/14,South Korea,human,South Korea_human_1/1/14
GCF_013201505.1,562,,Complete Genome,2008,Portugal,Bird of prey,PRJEB36175,SAMEA6471229,Bird of prey,2-101,2008,Portugal,non-human,Portugal_non-human_2008
GCF_030295625.1,562,JNE141411,Complete Genome,2014,Japan,Homo sapiens,PRJDB14917,SAMD00566465,,Complete sequence of LEE-negative enterohemorrhagic Escherichia coli,2014,Japan,human,Japan_human_2014
GCF_034423795.1,562,THN257,Complete Genome,9/30/19,China: luohe,chicken,PRJNA1048378,SAMN38637364,,Microbe sample from Escherichia coli,9/30/19,China,non-human,China_non-human_9/30/19
GCF_977064575.1,562,BLSE177-2012,Complete Genome,2012,Belgium,Homo sapiens,,SAMEA120421550,urine,E3,2012,Belgium,human,Belgium_human_2012
GCF_040105125.1,562,ST-131,Complete Genome,9/20/17,"India: South India, Andhra Pradesh, Prasanthigram",Homo sapiens,PRJNA1118478,SAMN41610980,mid stream urine,Pathogen: clinical or host-associated sample from Escherichia coli,9/20/17,India,human,India_human_9/20/17
GCF_016403875.2,562,STEC2017-197,Complete Genome,2017,Switzerland: Zurich,Homo sapiens,PRJNA682534,SAMN16993373,stool,STEC2017-197,2017,Switzerland,human,Switzerland_human_2017
GCF_040267585.1,562,129130,Complete Genome,1/13/24,Germany: Landstuhl,Homo sapiens,PRJNA1116075,SAMN41774621,Surveillance,Pathogen: clinical or host-associated sample from Escherichia coli,1/13/24,Germany,human,Germany_human_1/13/24
GCF_002012005.1,562,Ecol_517,Complete Genome,2011,Brazil: Rio de Janeiro,Homo sapiens,PRJNA316786,SAMN05511179,,,2011,Brazil,human,Brazil_human_2011
GCA_001644745.1,562,2013C-4465,Complete Genome,8/20/13,USA,Homo sapiens,PRJNA218110,SAMN04851091,stool,Pathogen: clinical or host-associated sample from Escherichia coli,8/20/13,USA,human,USA_human_8/20/13
GCF_024023055.1,562,EMG2,Complete Genome,1922,"USA: Palo Alto, CA",Homo sapiens,PRJNA848777,SAMN29011449,,Escherichia coli K-12 strain,1922,USA,human,USA_human_1922
GCA_016889505.1,562,ECY44,Complete Genome,10/1/16,China:zhengzhou,chicken,PRJNA700460,SAMN17832021,,Microbe sample from Escherichia coli,10/1/16,China,non-human,China_non-human_10/1/16
GCA_003667385.1,562,BE2-5,Complete Genome,4/27/15,China: Chengdu,egret,PRJNA495707,SAMN10230268,Bird (Egret) feces BE2,Microbe sample from Escherichia coli,4/27/15,China,non-human,China_non-human_4/27/15
GCF_019091005.1,562,ST865,Complete Genome,5/29/19,China: Guangxi,Homo sapiens,PRJNA739030,SAMN19769895,diarrhea from outbreaks of food poisoning,Pathogen: environmental/food/other sample from Escherichia coli,5/29/19,China,human,China_human_5/29/19
GCF_022558805.1,562,EC14,Complete Genome,11/16/16,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904658,wound,Pathogen: clinical or host-associated sample from Escherichia coli,11/16/16,China,human,China_human_11/16/16
GCF_053699415.1,562,19AR0646,Complete Genome,2019,New Zealand,Homo sapiens,PRJNA1328436,SAMN51335558,Screen,Escherichia coli strain 19AR0646,2019,New Zealand,human,New Zealand_human_2019
GCF_011045255.1,562,E118,Complete Genome,2/10/19,South Korea,dog,PRJNA607818,SAMN14149125,,Microbe sample from Escherichia coli,2/10/19,South Korea,non-human,South Korea_non-human_2/10/19
GCF_029227875.1,562,XJ6.2,Complete Genome,8/30/18,China:loess plateau,bovine,PRJNA726015,SAMN18917930,,Microbe sample from Escherichia coli,8/30/18,China,non-human,China_non-human_8/30/18
GCF_026651165.1,562,GN02350,Complete Genome,2005,USA,Homo sapiens,PRJNA823807,SAMN27361458,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2005,USA,human,USA_human_2005
GCA_025642235.1,562,B-JRPT-4119,Complete Genome,12/14/21,Sweden,Homo sapiens,PRJNA883762,SAMN30996451,,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,12/14/21,Sweden,human,Sweden_human_12/14/21
GCF_052127855.1,562,2020S05-013,Complete Genome,7/2/20,Taiwan,Homo sapiens,PRJNA1302151,SAMN50489723,blood,Microbe sample from Escherichia coli,7/2/20,Taiwan,human,Taiwan_human_7/2/20
GCA_001617565.1,562,Ecol_732,Complete Genome,2012,Thailand: Bangkok,Homo sapiens,PRJNA316786,SAMN04621897,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2012,Thailand,human,Thailand_human_2012
GCF_019443685.1,562,UPEC-774U/190308,Complete Genome,3/8/19,Mexico: Mexico City,Homo sapiens,PRJNA610084,SAMN14277526,bladder epithelial biopsy from 50-year-old female patient with recurrent urinary tract infection,UPEC associated with recurrent urinary tract infection,3/8/19,Mexico,human,Mexico_human_3/8/19
GCA_022558945.1,562,EC9,Complete Genome,7/28/16,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904653,urine,Pathogen: clinical or host-associated sample from Escherichia coli,7/28/16,China,human,China_human_7/28/16
GCF_049076305.1,562,1442,Complete Genome,2015,Egypt,Homo sapiens,PRJNA1232972,SAMN47255929,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2015,Egypt,human,Egypt_human_2015
GCF_004299805.1,562,S65EC,Complete Genome,2009-11,Australia,Homo sapiens,PRJNA517996,SAMN10879429,urine,"Complete genome of S65EC, a hemolysin producing ST131 strain",2009,Australia,human,Australia_human_2009
GCF_044099165.1,562,QL57EC,Complete Genome,5/21/22,China:Guiyang,swine,PRJNA1176314,SAMN44387445,,Microbe sample from Escherichia coli,5/21/22,China,non-human,China_non-human_5/21/22
GCF_028752715.1,562,APEC E956,Complete Genome,1998,Australia,chicken,PRJNA780013,SAMN23175191,Tissue,Pathogen: clinical or host-associated sample from Escherichia coli,1998,Australia,non-human,Australia_non-human_1998
GCF_048020275.1,562,EC19,Complete Genome,5/20/20,China: Guangxi,pig,PRJNA1221836,SAMN46752613,fecal swab,Microbe sample from Escherichia coli,5/20/20,China,non-human,China_non-human_5/20/20
GCF_022558785.1,562,EC19,Complete Genome,5/28/17,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904661,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/28/17,China,human,China_human_5/28/17
GCF_041344915.1,562,CRE389,Complete Genome,2018,Taiwan,Homo sapiens,PRJNA1145357,SAMN43063587,sputum,Pathogen: clinical or host-associated sample from Klebsiella pneumoniae,2018,Taiwan,human,Taiwan_human_2018
GCF_013342925.1,562,LWY24,Complete Genome,3/5/16,China: Henan,chicken,PRJNA637692,SAMN15150880,feces,Microbe sample from Escherichia coli,3/5/16,China,non-human,China_non-human_3/5/16
GCA_023921205.1,562,EC20017429,Complete Genome,4/29/17,Canada: Quebec,Homo sapiens,PRJNA698617,SAMN18140782,missing,Pathogen: clinical or host-associated sample from Escherichia coli,4/29/17,Canada,human,Canada_human_4/29/17
GCF_031852295.1,562,RIVM_C040753,Complete Genome,8/2/21,Netherlands,Homo sapiens,PRJNA980147,SAMN35621341,not collected,Pathogen: clinical or host-associated sample from Escherichia coli,8/2/21,Netherlands,human,Netherlands_human_8/2/21
GCA_030285565.1,562,C51,Complete Genome,2020-07,Russia: Perm krai,Bos taurus,PRJNA980462,SAMN35637912,feces,E. coli C51 WGS,2020,Russia,non-human,Russia_non-human_2020
GCF_054047355.1,562,998,Complete Genome,7/30/22,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685431,urine,Pathogen: clinical or host-associated sample from Escherichia coli,7/30/22,USA,human,USA_human_7/30/22
GCF_026210515.1,562,THB42-F5,Complete Genome,6/30/22,China:Henan,dog,PRJNA876365,SAMN30656337,transconjugant from Escherichia coli strain HB42,Microbe sample from Escherichia coli,6/30/22,China,non-human,China_non-human_6/30/22
GCF_052071415.2,562,T142A,Complete Genome,6/19/24,China:Zhengzhou,pig,PRJNA1304228,SAMN50554454,farm,Microbe sample from Escherichia coli,6/19/24,China,non-human,China_non-human_6/19/24
GCA_025779775.2,562,2022CK-00557,Complete Genome,8/30/22,USA,Homo sapiens,PRJNA288601,SAMN31390129,blood,Pathogen: clinical or host-associated sample from Escherichia coli,8/30/22,USA,human,USA_human_8/30/22
GCF_902705295.2,562,BEN2908,Complete Genome,1977,France,Gallus gallus,PRJEB35043,SAMEA6109568,chicken trachea,Complete genome,1977,France,non-human,France_non-human_1977
GCF_054047595.1,562,361,Complete Genome,2/7/21,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685428,Drainage,Pathogen: clinical or host-associated sample from Escherichia coli,2/7/21,USA,human,USA_human_2/7/21
GCF_004924275.1,562,LHM10-1,Complete Genome,7/16/17,China:Jiangxi,pig,PRJNA526123,SAMN11087649,feces,Pathogen: clinical or host-associated sample from Escherichia coli,7/16/17,China,non-human,China_non-human_7/16/17
GCF_003018355.1,562,00-3076,Complete Genome,2000,USA,Homo sapiens,PRJNA218110,SAMN08579602,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2000,USA,human,USA_human_2000
GCA_025369695.1,562,E8,Complete Genome,6/5/17,USA,Poultry,PRJNA879066,SAMN30789311,Pullet,Pathogen: clinical or host-associated sample from Escherichia coli,6/5/17,USA,non-human,USA_non-human_6/5/17
GCF_048572575.1,562,AREA_C483,Complete Genome,6/28/21,"USA: Georgia, Athens",Homo sapiens,PRJNA894544,SAMN33912521,stool,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,6/28/21,USA,human,USA_human_6/28/21
GCF_003204955.1,562,2016C-3878,Complete Genome,5/31/16,USA,Homo sapiens,PRJNA335991,SAMN05468123,Rectal swab,Escherichia coli containing MCR-1 gene isolated from rectal swab,5/31/16,USA,human,USA_human_5/31/16
GCF_024918815.1,562,1579,Complete Genome,1/13/17,USA: Houston,Homo sapiens,PRJNA836696,SAMN28173996,blood,Pathogen: clinical or host-associated sample from Escherichia coli,1/13/17,USA,human,USA_human_1/13/17
GCF_003355175.1,562,ST2350,Complete Genome,3/22/18,United Kingdom,Homo sapiens,PRJNA482002,SAMN09729056,rectal swab,Pathogen: clinical or host-associated sample from Escherichia coli,3/22/18,United Kingdom,human,United Kingdom_human_3/22/18
GCF_045689925.1,562,T28R,Complete Genome,8/1/19,China: Henan,dog,PRJNA1065777,SAMN39466681,,Microbe sample from Escherichia coli,8/1/19,China,non-human,China_non-human_8/1/19
GCF_011492925.1,562,IBS28,Complete Genome,2012,Australia: New South Wales,Threskiornis spinicollis,PRJNA591373,SAMN14342226,Nest scat,Escherichia coli strain IBS28 from Threskiornis spinicollis,2012,Australia,non-human,Australia_non-human_2012
GCA_002142675.1,562,Z1002,Complete Genome,9/6/14,China:Jining,Homo sapiens,PRJNA386069,SAMN06924979,blood,Pathogen: clinical or host-associated sample from Escherichia coli,9/6/14,China,human,China_human_9/6/14
GCA_022558765.1,562,EC20,Complete Genome,6/22/17,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904662,throat swab,Pathogen: clinical or host-associated sample from Escherichia coli,6/22/17,China,human,China_human_6/22/17
GCF_046106315.1,562,19KM1778,Complete Genome,2019,Switzerland,Dog,PRJNA1086819,SAMN40411731,Rectal,Microbe sample from Escherichia coli,2019,Switzerland,non-human,Switzerland_non-human_2019
GCF_028752695.1,562,APEC 102026,Complete Genome,2019,Australia,chicken,PRJNA780013,SAMN23175190,Tissue,Pathogen: clinical or host-associated sample from Escherichia coli,2019,Australia,non-human,Australia_non-human_2019
GCF_052888115.1,562,VTB97584v,Complete Genome,11/9/21,South Africa,Chicken,,SAMN41579967,,Microbe sample from Escherichia coli,11/9/21,South Africa,non-human,South Africa_non-human_11/9/21
GCF_054388835.1,562,PRO_A-2567-6M-A_ESBL,Complete Genome,3/8/23,Tanzania,Homo sapiens,PRJNA1370689,SAMN53669772,feces,Pathogen: clinical or host-associated sample from Escherichia coli,3/8/23,Tanzania,human,Tanzania_human_3/8/23
GCA_027925625.1,562,H19,Complete Genome,1967,United Kingdom,Homo sapiens,PRJDB14896,SAMD00562883,missing,Escherichia coli strain H19,1967,United Kingdom,human,United Kingdom_human_1967
GCA_015139735.1,562,THO-015,Complete Genome,7/12/18,Japan:Tokyo,Homo sapiens,PRJDB9036,SAMD00196013,,Escherichia coli str. THO-015,7/12/18,Japan,human,Japan_human_7/12/18
GCF_014131635.1,562,6-Pyelo,Complete Genome,1995,USA,Homo sapiens,PRJNA592372,SAMN13422981,urine,Pathogen: clinical or host-associated sample from Escherichia coli,1995,USA,human,USA_human_1995
GCF_054391775.1,562,PRO_A-1028-6W-A_ESBL,Complete Genome,3/21/22,Tanzania,Homo sapiens,PRJNA1370689,SAMN53669744,feces,Pathogen: clinical or host-associated sample from Escherichia coli,3/21/22,Tanzania,human,Tanzania_human_3/21/22
GCF_030515515.1,562,MS20649,Complete Genome,1976,Finland,Homo sapiens,PRJNA757133,SAMN20934291,blood,IHE3056,1976,Finland,human,Finland_human_1976
GCF_045277255.1,562,GABEEC10,Complete Genome,5/5/22,Ireland: Galway,Homo sapiens,PRJNA935549,SAMN33321545,Unstimulated saliva,Microbe sample from Escherichia coli,5/5/22,Ireland,human,Ireland_human_5/5/22
GCF_002587005.1,562,IMT16316,Complete Genome,2012,Germany,wild bird,PRJNA413755,SAMN07765387,,Microbe sample from Escherichia coli,2012,Germany,non-human,Germany_non-human_2012
GCF_030996645.1,562,CUVET20-PYO4,Complete Genome,8/13/20,Thailand: Bangkok,dog,PRJNA914526,SAMN32339840,Endometrium,Microbe sample from Escherichia coli,8/13/20,Thailand,non-human,Thailand_non-human_8/13/20
GCF_053699075.1,562,20AR0354,Complete Genome,2020,New Zealand,Homo sapiens,PRJNA1328436,SAMN51335567,Midstream urine,Escherichia coli strain 20AR0354,2020,New Zealand,human,New Zealand_human_2020
GCA_025369915.1,562,E6,Complete Genome,6/2/17,USA,Poultry,PRJNA879066,SAMN30789309,Broiler,Pathogen: clinical or host-associated sample from Escherichia coli,6/2/17,USA,non-human,USA_non-human_6/2/17
GCA_020886495.2,562,2017.09.02CC,Complete Genome,2017-11,Viet Nam:Thai Binh,Homo sapiens,PRJDB8858,SAMD00407182,,Escherichia coli isolated from healthy human feces 2017Nov_09.02,2017,Viet Nam,human,Viet Nam_human_2017
GCF_054331615.1,562,FXCREC016,Complete Genome,4/6/18,China: Shanghai,Homo sapiens,PRJNA1394352,SAMN54320871,sputum,Pathogen: clinical or host-associated sample from Escherichia coli,4/6/18,China,human,China_human_4/6/18
GCF_053164745.1,562,BKQWHE,Complete Genome,2016,Malawi: Blantyre,Homo sapiens,,SAMN41753809,,Microbe sample from Escherichia coli,2016,Malawi,human,Malawi_human_2016
GCF_015571635.1,562,Res13-Lact-PER04-33,Complete Genome,3/20/17,Canada: Quebec,Sus scrofa domesticus,PRJNA662792,SAMN16304231,feces,Pathogen: clinical or host-associated sample from Escherichia coli,3/20/17,Canada,non-human,Canada_non-human_3/20/17
GCF_054048005.1,562,744,Complete Genome,5/22/22,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685443,blood,Pathogen: clinical or host-associated sample from Escherichia coli,5/22/22,USA,human,USA_human_5/22/22
GCA_024730765.1,562,A30,Complete Genome,2018,Canada,Horse,PRJNA777610,SAMN23704831,,Microbe sample from Escherichia coli,2018,Canada,non-human,Canada_non-human_2018
GCF_032345195.1,562,isolateI,Complete Genome,2017,Canada: Ottawa,Homo sapiens,PRJNA1020811,SAMN37529180,,Microbe sample from Escherichia coli,2017,Canada,human,Canada_human_2017
GCF_050265335.1,562,MZ1211,Complete Genome,2012,"China: Meizhou,Guangdong",Homo sapiens,PRJNA1152225,SAMN43355878,biological saple,One Health Enteric sample from Escherichia coli,2012,China,human,China_human_2012
GCF_025782825.1,562,HUM3355,Complete Genome,2012,Botswana: Kasane,Homo sapiens,PRJNA810075,SAMN26232716,faecal sample,Pathogen: clinical or host-associated sample from Escherichia coli,2012,Botswana,human,Botswana_human_2012
GCF_051359655.1,562,27992,Complete Genome,11/19/23,Egypt: Alexandria,Homo sapiens,PRJNA1266646,SAMN48718398,blood,Pathogen: clinical or host-associated sample from Escherichia coli,11/19/23,Egypt,human,Egypt_human_11/19/23
GCA_025995535.1,562,53_142304,Complete Genome,7/7/14,Japan,Homo sapiens,PRJDB13729,SAMD00495925,,53_142304,7/7/14,Japan,human,Japan_human_7/7/14
GCA_026074235.1,562,MY732,Complete Genome,7/23/19,Japan:Osaka,Canis lupus familiaris,PRJDB14482,SAMD00547841,urine,ESBL/AmpC-producing Escherichia coli MY732 from a companion dog,7/23/19,Japan,non-human,Japan_non-human_7/23/19
GCF_035621515.1,562,BHD6,Complete Genome,7/15/21,China: Sichuan,duck,PRJNA1057743,SAMN39140812,fece,Microbe sample from Escherichia coli,7/15/21,China,non-human,China_non-human_7/15/21
GCF_022591475.1,562,EC-16-35,Complete Genome,7/16/16,China:Zhengzhou,Homo sapiens,PRJNA814393,SAMN26549900,ascites,Pathogen: clinical or host-associated sample from Escherichia coli,7/16/16,China,human,China_human_7/16/16
GCA_021498045.1,562,TH9F11,Complete Genome,1/6/19,China: Guangzhou,fish,PRJNA636005,SAMN15062838,feces,Microbe sample from Escherichia coli,1/6/19,China,non-human,China_non-human_1/6/19
GCF_030007975.1,562,C325,Complete Genome,11/24/14,Spain,Homo sapiens,PRJNA626430,SAMN14640123,Human gut,Pathogen: clinical or host-associated sample from Escherichia coli,11/24/14,Spain,human,Spain_human_11/24/14
GCA_024298465.1,562,EC21Z-063,Complete Genome,2/13/21,China:Zhejiang,Homo sapiens,PRJNA856840,SAMN29593407,,Microbe sample from Escherichia coli,2/13/21,China,human,China_human_2/13/21
GCF_007833255.1,562,PU-1,Complete Genome,11/30/13,China: Jiangxi province,Swine,PRJNA557097,SAMN12389475,blood from piglet with acute sepsis,Microbe sample from Escherichia coli,11/30/13,China,non-human,China_non-human_11/30/13
GCF_051100375.1,562,HD12480,Complete Genome,9/27/16,China:Ningxia,Homo sapiens,PRJNA1067824,SAMN39552239,Pleural fluid,Pathogen: clinical or host-associated sample from Escherichia coli,9/27/16,China,human,China_human_9/27/16
GCF_053238195.1,562,CREC-U3,Complete Genome,1/29/24,China: Jinan,Homo sapiens,,SAMN49648872,urine,Microbe sample from Escherichia coli,1/29/24,China,human,China_human_1/29/24
GCF_019973795.1,562,FUJ80154,Complete Genome,8/21/19,Japan:Aichi,Homo sapiens,PRJDB11569,SAMD00317522,,Escherichia coli strain FUJ80154,8/21/19,Japan,human,Japan_human_8/21/19
GCF_048021095.1,562,EC130,Complete Genome,3/15/23,China: Guangxi,pig,PRJNA1221985,SAMN46760301,fecal swab,Microbe sample from Escherichia coli,3/15/23,China,non-human,China_non-human_3/15/23
GCA_002952095.1,562,Combat11I9,Complete Genome,2004-10,Hong Kong,Homo sapiens,PRJNA361032,SAMN07187744,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2004,Hong Kong,human,Hong Kong_human_2004
GCF_052122795.1,562,2022S01-140,Complete Genome,7/8/22,Taiwan,Homo sapiens,PRJNA1302151,SAMN50489735,other,Microbe sample from Escherichia coli,7/8/22,Taiwan,human,Taiwan_human_7/8/22
GCF_009866925.2,562,CFS3246,Complete Genome,5/3/04,France,Bos taurus,PRJNA433915,SAMN08522703,Bovine adult,Microbe sample from Escherichia coli,5/3/04,France,non-human,France_non-human_5/3/04
GCF_055456115.1,562,KK19-02,Complete Genome,1986,Germany,Homo sapiens,PRJNA1424694,SAMN55391932,stool,Microbe sample from Escherichia coli,1986,Germany,human,Germany_human_1986
GCF_014522245.1,562,UPEC_U013,Complete Genome,11/3/14,Taiwan: Chia-Yi,Homo sapiens,PRJNA643643,SAMN15421091,urine,Pathogen: clinical or host-associated sample from Escherichia coli,11/3/14,Taiwan,human,Taiwan_human_11/3/14
GCF_024760205.1,562,2e,Complete Genome,9/26/20,China:Tongliao,Homo sapiens,PRJNA871028,SAMN30399898,,Microbe sample from Escherichia coli,9/26/20,China,human,China_human_9/26/20
GCF_022559265.1,562,EC7,Complete Genome,4/26/16,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904651,urine,Pathogen: clinical or host-associated sample from Escherichia coli,4/26/16,China,human,China_human_4/26/16
GCF_054388955.1,562,PRO_A-1482-6W-A_ESBL,Complete Genome,6/2/22,Tanzania,Homo sapiens,PRJNA1370689,SAMN53669765,feces,Pathogen: clinical or host-associated sample from Escherichia coli,6/2/22,Tanzania,human,Tanzania_human_6/2/22
GCF_054047415.1,562,410,Complete Genome,11/9/18,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685439,urine,Pathogen: clinical or host-associated sample from Escherichia coli,11/9/18,USA,human,USA_human_11/9/18
GCF_051563005.1,562,AH21H052,Complete Genome,8/23/21,Australia:Melbourne,Homo sapiens,PRJNA1287288,SAMN49815529,blood,Pathogen: clinical or host-associated sample from Escherichia coli,8/23/21,Australia,human,Australia_human_8/23/21
GCF_000814145.2,562,6409,Complete Genome,2012,Colombia,Homo sapiens,PRJNA270222,SAMN03263950,excreted bodily substance,Pathogen: clinical or host-associated sample from Escherichia coli,2012,Colombia,human,Colombia_human_2012
GCF_949361525.1,562,,Complete Genome,not provided,not provided,not provided,PRJEB58706,SAMEA112702327,not provided,GENOMIC20-004,not provided,not provided,non-human,not provided_non-human_not provided
GCA_025996555.1,562,CEC03102,Complete Genome,2003,Japan,Homo sapiens,PRJDB13729,SAMD00496008,,CEC03102,2003,Japan,human,Japan_human_2003
GCF_048402645.1,562,774,Complete Genome,6/9/22,Taiwan,Homo sapiens,PRJNA1197131,SAMN45773517,urine,Pathogen: clinical or host-associated sample from Escherichia coli,6/9/22,Taiwan,human,Taiwan_human_6/9/22
GCF_054047715.1,562,361,Complete Genome,10/27/22,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685446,blood,Pathogen: clinical or host-associated sample from Escherichia coli,10/27/22,USA,human,USA_human_10/27/22
GCF_009866945.2,562,CFS3273,Complete Genome,5/3/07,France,Bos taurus,PRJNA433820,SAMN08522730,Bovine adult,Microbe sample from Escherichia coli,5/3/07,France,non-human,France_non-human_5/3/07
GCF_002246595.2,562,ECCTRSRTH03,Complete Genome,8/1/16,Thailand: Nakhon Pathom,Swine,PRJNA389557,SAMN07450616,Rectal swab,Thailand Sample: ECCTRSRTH03,8/1/16,Thailand,non-human,Thailand_non-human_8/1/16
GCA_002953455.1,562,KBN10P04869,Complete Genome,3/28/17,South Korea: Daegu,Homo sapiens,PRJNA430286,SAMN08369073,blood,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,3/28/17,South Korea,human,South Korea_human_3/28/17
