accession,tax_id,strain,assembly_level,collection_date,geo_location,host,bioproject_id,biosample_id,source_type,title,year_clean,country_clean,host_clean,diversity_group
GCF_054482495.1,562,3PT,Complete Genome,4/27/25,China: Shandong; Weifang,Mink,PRJNA1395350,SAMN54371716,unknown,Pathogen: clinical or host-associated sample from Escherichia coli,4/27/25,China,non-human,China_non-human_4/27/25
GCF_022493475.1,562,A22,Complete Genome,2000,Australia,possum,PRJNA293615,SAMN04100045,feces,Microbe sample from Escherichia coli,2000,Australia,non-human,Australia_non-human_2000
GCF_036507355.1,562,2018-05-2CC,Complete Genome,2018,Viet Nam:Thai Binh,Homo sapiens,PRJDB14867,SAMD00562579,feces,"Escherichia coli strain 2018-05-2CC, DNA, complete genome",2018,Viet Nam,human,Viet Nam_human_2018
GCF_046581385.1,562,SX12,Complete Genome,2/5/20,China: Shaanxi,Sheep,PRJNA1062294,SAMN39290640,anal swab,Genome sequencing of SX12,2/5/20,China,non-human,China_non-human_2/5/20
GCA_029674645.1,562,rl0044,Complete Genome,8/25/00,Switzerland,Sus scrofa domesticus,PRJNA952187,SAMN34068129,feces,Microbe sample from Escherichia coli,8/25/00,Switzerland,non-human,Switzerland_non-human_8/25/00
GCF_054047505.1,562,405,Complete Genome,3/9/21,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685429,Body Fl,Pathogen: clinical or host-associated sample from Escherichia coli,3/9/21,USA,human,USA_human_3/9/21
GCF_030995165.1,562,CUVET18-789,Complete Genome,5/30/18,Thailand: Bangkok,cat,PRJNA914526,SAMN32339855,urine,Microbe sample from Escherichia coli,5/30/18,Thailand,non-human,Thailand_non-human_5/30/18
GCA_000833635.2,562,USML2,Complete Genome,5/27/06,Malaysia,Elaeis guineensis,PRJNA273553,SAMN03294311,Inner leaf tissue,Microbe sample from Escherichia coli,5/27/06,Malaysia,non-human,Malaysia_non-human_5/27/06
GCF_048296705.1,562,VTEC+,Complete Genome,11/18/24,Spain: Granada,Grown in Blood agar culture medium,PRJNA1224608,SAMN46862936,Bacterial culture,Microbe sample from Escherichia coli,11/18/24,Spain,non-human,Spain_non-human_11/18/24
GCA_022558745.1,562,EC21,Complete Genome,7/7/17,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904663,urine,Pathogen: clinical or host-associated sample from Escherichia coli,7/7/17,China,human,China_human_7/7/17
GCA_022569795.1,562,131,Complete Genome,2017,South Africa,Homo sapiens,PRJNA773238,SAMN22456104,hospital,Escherichia coli ST131 Eco4507,2017,South Africa,human,South Africa_human_2017
GCF_053850535.1,562,ESBLEC_HM52,Complete Genome,3/1/24,"Malaysia: Klang Valley, Selangor",Homo sapiens,PRJNA1307276,SAMN50743356,Rectal swab,Microbe sample from Escherichia coli,3/1/24,Malaysia,human,Malaysia_human_3/1/24
GCF_034335725.2,562,TP10-2,Complete Genome,2/26/23,China: Shandong,Homo sapiens,PRJNA1036031,SAMN38111795,hospital,Pathogen: clinical or host-associated sample from Escherichia coli,2/26/23,China,human,China_human_2/26/23
GCF_003194345.1,562,E41-1,Complete Genome,2/7/17,China:Shanghai,Homo sapiens,PRJNA431043,SAMN08382661,,Microbe sample from Escherichia coli,2/7/17,China,human,China_human_2/7/17
GCF_011044355.1,562,EC28,Complete Genome,6/3/18,China:Hangzhou,Homo sapiens,PRJNA607867,SAMN14149865,urine,Pathogen: clinical or host-associated sample from Escherichia coli,6/3/18,China,human,China_human_6/3/18
GCF_053170185.1,562,CUVET17-1418,Complete Genome,2017-12,Thailand: Bangkok,Canis lupus familiaris,,SAMN28920522,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2017,Thailand,non-human,Thailand_non-human_2017
GCF_051136175.1,562,EC15,Complete Genome,11/28/23,Egypt: Alexandria,Homo sapiens,PRJNA1266646,SAMN48700602,urine,Pathogen: clinical or host-associated sample from Escherichia coli,11/28/23,Egypt,human,Egypt_human_11/28/23
GCF_040790915.1,562,PEC1012,Complete Genome,10/16/16,"Pakistan: Polyclinic hospital, Islamabad",Wild bird,PRJNA1120952,SAMN41722748,Fecal matter,Microbe sample from Escherichia coli,10/16/16,Pakistan,non-human,Pakistan_non-human_10/16/16
GCF_008807655.1,562,15.TR.026_OXA,Complete Genome,2015-01,"Turkey: Kadikoy, Istanbul",Larus michahellis,PRJNA489349,SAMN09976386,,Microbe sample from Escherichia coli,2015,Turkey,non-human,Turkey_non-human_2015
GCA_009761715.1,562,PT109,Complete Genome,2018-11,Portugal: Lisbon,Canis lupus familiaris,PRJNA548446,SAMN12027817,fecal sample,Pathogen: clinical or host-associated sample from Escherichia coli,2018,Portugal,non-human,Portugal_non-human_2018
GCF_053170025.1,562,CUVET19-1396,Complete Genome,2019-07,Thailand: Bangkok,Canis lupus familiaris,,SAMN28920524,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2019,Thailand,non-human,Thailand_non-human_2019
GCF_029224125.1,562,ZYB39,Complete Genome,12/1/18,China:loess plateau,bovine,PRJNA726356,SAMN18928494,,Microbe sample from Escherichia coli,12/1/18,China,non-human,China_non-human_12/1/18
GCA_002012105.1,562,Ecol_AZ147,Complete Genome,2012,Israel: Kfar Sava,Homo sapiens,PRJNA316786,SAMN05511182,,,2012,Israel,human,Israel_human_2012
GCF_053850575.1,562,ESBLEC_HM50,Complete Genome,3/6/24,"Malaysia: Klang Valley, Selangor",Homo sapiens,PRJNA1307276,SAMN50743355,Rectal swab,Microbe sample from Escherichia coli,3/6/24,Malaysia,human,Malaysia_human_3/6/24
GCF_047115195.1,562,CUVET21-PYO5,Complete Genome,3/15/21,Thailand: Bangkok,dog,PRJNA914526,SAMN32965172,Endometrium,Microbe sample from Escherichia coli,3/15/21,Thailand,non-human,Thailand_non-human_3/15/21
GCF_030168715.1,562,W409,Complete Genome,2004,China:Guangdong,chicken,PRJNA954068,SAMN34133715,missing,Microbe sample from Escherichia coli,2004,China,non-human,China_non-human_2004
GCF_026240775.1,562,TSW4848-W1,Complete Genome,10/9/18,"USA: Irvine, CA","SW4848was obtained from City Park Lake, Baton Rouge, Louisiana, U.S.A.",PRJNA888808,SAMN31632844,TSW4848-W1 1 is a transconjugant of SW4848,Microbe sample from Escherichia coli,10/9/18,USA,non-human,USA_non-human_10/9/18
GCF_054388855.1,562,PRO_A-2576-6M-A_ESBL,Complete Genome,3/10/23,Tanzania,Homo sapiens,PRJNA1370689,SAMN53669773,feces,Pathogen: clinical or host-associated sample from Escherichia coli,3/10/23,Tanzania,human,Tanzania_human_3/10/23
GCF_003203755.1,562,SD134209,Complete Genome,2001,USA: South Dakota,Homo sapiens,PRJNA473579,SAMN09278797,feces,Pathogen: clinical or host-associated sample from Escherichia coli,2001,USA,human,USA_human_2001
GCA_014522225.1,562,EC931,Complete Genome,2/10/17,China: Yiwu,Homo sapiens,PRJNA608094,SAMN14164122,urine,Tigecycline and colistin resistant Escherichia coli clinical isolate EC931,2/10/17,China,human,China_human_2/10/17
GCF_048403485.1,562,446,Complete Genome,2/22/19,Taiwan,Homo sapiens,PRJNA1196884,SAMN45677712,sputum,Pathogen: clinical or host-associated sample from Escherichia coli,2/22/19,Taiwan,human,Taiwan_human_2/22/19
GCF_024917955.1,562,5444,Complete Genome,11/7/19,USA: Houston,Homo sapiens,PRJNA836696,SAMN28174095,blood,Pathogen: clinical or host-associated sample from Escherichia coli,11/7/19,USA,human,USA_human_11/7/19
GCF_052888435.1,562,VTB97585v,Complete Genome,11/13/21,South Africa,Chicken,,SAMN41579968,,Microbe sample from Escherichia coli,11/13/21,South Africa,non-human,South Africa_non-human_11/13/21
GCF_019614825.1,562,ST866,Complete Genome,5/28/19,China: Guangxi,Homo sapiens,PRJNA739030,SAMN19769896,outbreaks of food poisoning,Pathogen: environmental/food/other sample from Escherichia coli,5/28/19,China,human,China_human_5/28/19
GCF_054047725.1,562,167,Complete Genome,2/5/20,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685456,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2/5/20,USA,human,USA_human_2/5/20
GCF_032298115.1,562,Escherichia coli EC12011,Complete Genome,2012,Canada,Homo sapiens,PRJNA549322,SAMN37528248,not applicable,EC12011,2012,Canada,human,Canada_human_2012
GCF_052906725.1,562,4600,Complete Genome,2019,United Kingdom,pig,PRJNA1289657,SAMN49890918,missing,One Health Enteric sample from Escherichia coli,2019,United Kingdom,non-human,United Kingdom_non-human_2019
GCA_014656625.1,562,M00057,Complete Genome,2020,Australia,Homo sapiens,PRJNA662169,SAMN16077358,feces,Pathogen: clinical or host-associated sample from Escherichia coli,2020,Australia,human,Australia_human_2020
GCF_054048065.1,562,167,Complete Genome,3/31/24,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685449,blood,Pathogen: clinical or host-associated sample from Escherichia coli,3/31/24,USA,human,USA_human_3/31/24
GCA_024225755.1,562,LH10-b-1,Complete Genome,2022,Switzerland,Gallus gallus domesticus,PRJNA855630,SAMN29499312,pooled poultry feces,Microbe sample from Escherichia coli,2022,Switzerland,non-human,Switzerland_non-human_2022
GCF_030996485.1,562,CUVET19-1704,Complete Genome,8/15/19,Thailand: Bangkok,dog,PRJNA914526,SAMN32339844,Prostatic abscess,Microbe sample from Escherichia coli,8/15/19,Thailand,non-human,Thailand_non-human_8/15/19
GCA_001886535.1,562,MRSN352231,Complete Genome,2016-07,Germany,Homo sapiens,PRJNA353939,SAMN06029893,clinical,Pathogen: clinical or host-associated sample from Escherichia coli,2016,Germany,human,Germany_human_2016
GCF_044647575.1,562,BS-01,Complete Genome,4/27/24,Indonesia: Livestock farm in Sukabumi city,Gallus gallus domesticus,PRJNA1075840,SAMN44321998,"Broiler stool, day of birth, week 1",E. coli_SMI_BR-S_08,4/27/24,Indonesia,non-human,Indonesia_non-human_4/27/24
GCA_025399135.1,562,PNUSAE008512,Complete Genome,2017-07,USA:UT,Bull,PRJNA812595,SAMN07375592,bull manure,Pathogen: environmental/food/other sample from Escherichia coli,2017,USA,non-human,USA_non-human_2017
GCF_034339465.2,562,TP6-1,Complete Genome,2/22/23,China: Shandong,Homo sapiens,PRJNA1036031,SAMN38111791,hospital,Pathogen: clinical or host-associated sample from Escherichia coli,2/22/23,China,human,China_human_2/22/23
GCF_018968645.1,562,NC19,Complete Genome,11/11/19,China: Nanchang,duck,PRJNA735938,SAMN19604990,visceral,Microbe sample from Escherichia coli,11/11/19,China,non-human,China_non-human_11/11/19
GCF_054478005.1,562,HSP425,Complete Genome,2019,Brazil: Sao Paulo,Homo sapiens,PRJNA1261852,SAMN48483476,urine,Escherichia coli HSP425,2019,Brazil,human,Brazil_human_2019
GCF_031852355.1,562,RIVM_C029670,Complete Genome,1/16/20,Netherlands,Homo sapiens,PRJNA980147,SAMN35621336,not collected,Pathogen: clinical or host-associated sample from Escherichia coli,1/16/20,Netherlands,human,Netherlands_human_1/16/20
GCF_030419125.1,562,CE0007a,Complete Genome,9/11/14,New Zealand,Bos taurus,PRJNA938096,SAMN33425303,feces,Microbe sample from Escherichia coli,9/11/14,New Zealand,non-human,New Zealand_non-human_9/11/14
GCF_055502215.1,562,E1,Complete Genome,7/8/24,China: Fujian,Homo sapiens,PRJNA1425647,SAMN55473517,,Microbe sample from Escherichia coli,7/8/24,China,human,China_human_7/8/24
GCF_029854475.1,562,18-4,Complete Genome,4/13/18,China:Jiangsu,Homo sapiens,PRJNA951454,SAMN34164601,blood,Microbe sample from Escherichia coli,4/13/18,China,human,China_human_4/13/18
GCF_054047465.1,562,2450,Complete Genome,3/27/21,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685440,blood,Pathogen: clinical or host-associated sample from Escherichia coli,3/27/21,USA,human,USA_human_3/27/21
GCF_019443605.1,562,UPEC-455U/190220,Complete Genome,2/20/19,Mexico: Mexico City,Homo sapiens,PRJNA610084,SAMN14277528,bladder epithelial biopsy from 60-year-old female patient with recurrent urinary tract infection,UPEC associated with recurrent urinary tract infection,2/20/19,Mexico,human,Mexico_human_2/20/19
GCF_048572565.1,562,AREA_R505,Complete Genome,12/6/21,"USA: Georgia, Athens",Homo sapiens,PRJNA894544,SAMN33912520,stool,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,12/6/21,USA,human,USA_human_12/6/21
GCF_016432785.1,562,1EC213,Complete Genome,7/31/18,Ghana: Western region,Homo sapiens,PRJNA473419,SAMN15945290,,Microbe sample from Escherichia coli,7/31/18,Ghana,human,Ghana_human_7/31/18
GCA_030296215.1,562,B27,Complete Genome,2015,Thailand,Musca domestica,PRJDB15400,SAMD00585620,whole body,B27,2015,Thailand,non-human,Thailand_non-human_2015
GCA_025200555.1,562,USDA-ARS-USMARC-51408,Complete Genome,10/1/13,USA:Kansas,Bos taurus,PRJNA281531,SAMN30466959,feedlot,Pathogen: clinical or host-associated sample from Escherichia coli,10/1/13,USA,non-human,USA_non-human_10/1/13
GCF_025995735.1,562,93_161312,Complete Genome,8/18/16,Japan,Homo sapiens,PRJDB13729,SAMD00495965,,93_161312,8/18/16,Japan,human,Japan_human_8/18/16
GCF_019976915.1,562,E189,Complete Genome,2016,Japan,Equus caballus,PRJDB11294,SAMD00283125,,Escherichia coli E189 strain,2016,Japan,non-human,Japan_non-human_2016
GCF_024499095.1,562,CPww7,Complete Genome,6/10/17,Thailand: Bangkok,Sus scrofa,PRJNA731849,SAMN19296501,wastewater,Microbe sample from Escherichia coli,6/10/17,Thailand,non-human,Thailand_non-human_6/10/17
GCF_051562015.1,562,AH19K002,Complete Genome,11/1/19,Australia:Melbourne,Homo sapiens,PRJNA1287288,SAMN49815513,blood,Pathogen: clinical or host-associated sample from Escherichia coli,11/1/19,Australia,human,Australia_human_11/1/19
GCF_037555585.1,562,Z1323HEC0010,Complete Genome,4/11/23,South Korea,Homo sapiens,PRJNA1087359,SAMN40441588,,Microbe sample from Escherichia coli,4/11/23,South Korea,human,South Korea_human_4/11/23
GCF_041200295.1,562,PEC1013,Complete Genome,8/27/17,"Pakistan: Shakarparian park, Islamabad",Wild bird,PRJNA1137093,SAMN42567064,Fecal matter,Microbe sample from Escherichia coli,8/27/17,Pakistan,non-human,Pakistan_non-human_8/27/17
GCA_005484365.1,562,AR24.2b,Complete Genome,5/18/18,Switzerland: Bern,dog,PRJNA522068,SAMN10924275,rectal swab from hospitalized dog,Microbe sample from Escherichia coli,5/18/18,Switzerland,non-human,Switzerland_non-human_5/18/18
GCF_052908065.1,562,E600003,Complete Genome,2007,Bangladesh,Homo sapiens,PRJNA1322554,SAMN51250227,stool,Sequencing of commensal Escherichia coli isolate 300081,2007,Bangladesh,human,Bangladesh_human_2007
GCA_026068995.2,562,2022CK-00566,Complete Genome,8/16/22,USA,Homo sapiens,PRJNA288601,SAMN31592761,Wound/Abscess,Pathogen: clinical or host-associated sample from Escherichia coli,8/16/22,USA,human,USA_human_8/16/22
GCF_023516055.1,562,19SZHZ803Rt,Complete Genome,7/13/19,China:Shenzhen,Homo sapiens,PRJNA748549,SAMN20339661,Human feces,tet(X4)-positive Escherichia coli isolated from human,7/13/19,China,human,China_human_7/13/19
GCF_011022275.1,562,190693,Complete Genome,11/15/16,United Kingdom: Liverpool,Homo sapiens,PRJNA607545,SAMN14137859,Blood culture,Pathogen: clinical or host-associated sample from Escherichia coli,11/15/16,United Kingdom,human,United Kingdom_human_11/15/16
GCF_030717525.1,562,GON1437,Complete Genome,6/28/21,Czech Republic: University Hospital Brno,Homo sapiens,PRJNA980112,SAMN35620193,uretra swab,Pathogen: clinical or host-associated sample from Escherichia coli,6/28/21,Czech Republic,human,Czech Republic_human_6/28/21
GCF_040267555.1,562,146,Complete Genome,5/25/10,USA: Washington DC,Homo sapiens,PRJNA1116075,SAMN41774609,Surveillance,Pathogen: clinical or host-associated sample from Escherichia coli,5/25/10,USA,human,USA_human_5/25/10
GCF_001043215.1,562,NCM3722,Complete Genome,5/24/14,USA: California,Homo sapiens,PRJNA284094,SAMN03659038,,NCM3722 sequencing by PacBio SMRT,5/24/14,USA,human,USA_human_5/24/14
GCF_032229265.1,562,19213,Complete Genome,2020,Hungary,Homo sapiens,PRJNA1004631,SAMN36947641,missing,One Health Enteric sample from Escherichia coli,2020,Hungary,human,Hungary_human_2020
GCF_049189245.1,562,M15,Complete Genome,2024-01,South Korea: Ulsan,Homo sapiens,PRJNA1238030,SAMN47447742,fecal sample,Microbe sample from Escherichia coli,2024,South Korea,human,South Korea_human_2024
GCF_020149465.1,562,SUISSEKPC3NDM5,Complete Genome,11/6/20,Switzerland: Basel,Homo sapiens,PRJNA762038,SAMN21369264,urine,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,11/6/20,Switzerland,human,Switzerland_human_11/6/20
GCA_024700885.2,562,MLI121,Complete Genome,8/28/14,Mali: Koulikoro,Homo sapiens,PRJNA856486,SAMN29553897,stool sample,Pathogen: clinical or host-associated sample from Escherichia coli,8/28/14,Mali,human,Mali_human_8/28/14
GCF_049076315.1,562,1446,Complete Genome,2015,Italy,Homo sapiens,PRJNA1232972,SAMN47255932,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2015,Italy,human,Italy_human_2015
GCF_025995355.1,562,8_140198,Complete Genome,1/10/14,Japan,Homo sapiens,PRJDB13729,SAMD00495880,,8_140198,1/10/14,Japan,human,Japan_human_1/10/14
GCF_014605875.1,562,EC93,Complete Genome,2005,"USA: Santa Barbara, UCSB animal house",Rattus norvegicus,PRJNA658456,SAMN15871861,,Microbe sample from Escherichia coli,2005,USA,non-human,USA_non-human_2005
GCF_055387985.1,562,N61,Complete Genome,2017,Japan,Bos taurus,,SAMD00639222,milk from mastitis,Escherichia coli N61 strain,2017,Japan,non-human,Japan_non-human_2017
GCF_055233755.1,562,KD0845,Complete Genome,6/15/21,South Korea: Seoul,dog,PRJNA1421063,SAMN55285589,Rectal swab,One Health Enteric sample from Escherichia coli,6/15/21,South Korea,non-human,South Korea_non-human_6/15/21
GCF_025369715.1,562,E10,Complete Genome,6/13/17,USA,Poultry,PRJNA879066,SAMN30789313,Breeder,Pathogen: clinical or host-associated sample from Escherichia coli,6/13/17,USA,non-human,USA_non-human_6/13/17
GCF_055384925.1,562,EC529,Complete Genome,2019-08,Viet Nam:Ho Chi Minh City,Gallus gallus,,SAMD00819698,meat of Gallus gallus,Complete genome sequence of Escherichia coli EC529,2019,Viet Nam,non-human,Viet Nam_non-human_2019
GCF_037081975.1,562,A1.S1.65,Complete Genome,2/24/21,Poland:Olsztyn,Homo sapiens,PRJNA1082105,SAMN40199712,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2/24/21,Poland,human,Poland_human_2/24/21
GCA_029855165.1,562,4588,Complete Genome,12/21/18,USA: Houston,Homo sapiens,PRJNA924946,SAMN32977832,blood,Pathogen: clinical or host-associated sample from Escherichia coli,12/21/18,USA,human,USA_human_12/21/18
GCA_003703795.1,562,ECCHD184,Complete Genome,2017-08,China:Zhejiang,chicken,PRJNA490022,SAMN10023796,stool,Microbe sample from Escherichia coli,2017,China,non-human,China_non-human_2017
GCF_003268695.1,562,WCHEC035148,Complete Genome,2018,"China: Chengdu, Sichuan",Sewage,PRJNA418674,SAMN09202772,,The Microbe sample of Escherichia coli strain WCHEC035148,2018,China,non-human,China_non-human_2018
GCF_017088445.1,562,40EC,Complete Genome,2019-02,Singapore,Homo sapiens,PRJNA599529,SAMN17807534,feces,Microbe sample from Escherichia coli,2019,Singapore,human,Singapore_human_2019
GCF_048585585.1,562,AZ148,Complete Genome,2012,Turkey,Homo sapiens,PRJNA1232972,SAMN47255937,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2012,Turkey,human,Turkey_human_2012
GCF_037539565.1,562,Z1323MEC0002,Complete Genome,2023-10,South Korea,Mammal,PRJNA1087359,SAMN40441607,,Microbe sample from Escherichia coli,2023,South Korea,non-human,South Korea_non-human_2023
GCF_054389015.1,562,PRO_A-1478-6M-A_ESBL,Complete Genome,10/15/22,Tanzania,Homo sapiens,PRJNA1370689,SAMN53669764,feces,Pathogen: clinical or host-associated sample from Escherichia coli,10/15/22,Tanzania,human,Tanzania_human_10/15/22
GCF_053850515.1,562,ESBLEC_MG32,Complete Genome,2/27/24,"Malaysia: Klang Valley, Selangor",Homo sapiens,PRJNA1307276,SAMN50743357,Rectal swab,Microbe sample from Escherichia coli,2/27/24,Malaysia,human,Malaysia_human_2/27/24
GCF_045037425.1,562,98227,Complete Genome,2020/2023,Egypt: Alexandria,Homo sapiens,PRJNA1180919,SAMN44530456,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2020,Egypt,human,Egypt_human_2020
GCA_022846215.1,562,Rb-3,Complete Genome,1/1/14,Japan,Homo sapiens,PRJDB12453,SAMD00411241,,Escherichia coli Rb-3 Genome sequencing and assembly,1/1/14,Japan,human,Japan_human_1/1/14
GCF_053165295.1,562,BKQ37E,Complete Genome,2013,Malawi: Blantyre,Homo sapiens,,SAMN41832290,,Microbe sample from Escherichia coli,2013,Malawi,human,Malawi_human_2013
GCA_018361365.1,562,184/2aE,Complete Genome,12/10/17,Brazil: Rio de Janeiro,Homo sapiens,PRJNA719994,SAMN18630606,Stool specimen,Microbe sample from Escherichia coli,12/10/17,Brazil,human,Brazil_human_12/10/17
GCF_030717665.1,562,QML220601,Complete Genome,4/10/20,China:Tibet Plateau,yak,PRJNA1002110,SAMN36835240,stool,Pathogen: clinical or host-associated sample from Escherichia coli,4/10/20,China,non-human,China_non-human_4/10/20
GCA_021132115.1,562,C17EC0083,Complete Genome,2017,South Korea,Homo sapiens,PRJNA782071,SAMN23391614,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2017,South Korea,human,South Korea_human_2017
GCA_024585765.1,562,PM4,Complete Genome,2018-05,Cuba: La Lisa,Pig,PRJNA725375,SAMN18877300,Rectal Swab,Microbe sample from Escherichia coli,2018,Cuba,non-human,Cuba_non-human_2018
GCA_028898885.1,562,NB4833,Complete Genome,10/14/84,China: Ningbo,Homo sapiens,PRJNA905685,SAMN31881052,urine,Pathogen: clinical or host-associated sample from Escherichia coli,10/14/84,China,human,China_human_10/14/84
GCF_034643255.1,562,KE48,Complete Genome,12/19/22,"USA: Dallas, Texas",Homo sapiens,PRJNA1049017,SAMN38673177,Infected Human Urine,Pathogen: clinical or host-associated sample from Escherichia coli,12/19/22,USA,human,USA_human_12/19/22
GCF_041022005.1,562,729_270514_x_12,Complete Genome,5/27/14,Denmark: Copenhagen,Poultry,PRJNA1123745,SAMN41822571,Salpingitis,Pathogen: clinical or host-associated sample from Escherichia coli,5/27/14,Denmark,non-human,Denmark_non-human_5/27/14
GCF_053346465.1,562,SURV0398,Complete Genome,2022,USA: Pittsburgh,Homo sapiens,PRJNA981541,SAMN47788330,Rectal Swab,Pathogen: clinical or host-associated sample from Escherichia coli,2022,USA,human,USA_human_2022
GCA_015138575.1,562,THO-003,Complete Genome,5/9/18,Japan:Tokyo,Homo sapiens,PRJDB9036,SAMD00196001,,Escherichia coli str. THO-003,5/9/18,Japan,human,Japan_human_5/9/18
GCF_031852335.1,562,RIVM_C036204,Complete Genome,6/19/20,Netherlands,Homo sapiens,PRJNA980147,SAMN35621337,not collected,Pathogen: clinical or host-associated sample from Escherichia coli,6/19/20,Netherlands,human,Netherlands_human_6/19/20
GCF_047456045.1,562,S6aCHROMc,Complete Genome,2022,Ireland,Cygnus olor,PRJNA1096459,SAMN42056363,,Microbe sample from Escherichia coli,2022,Ireland,non-human,Ireland_non-human_2022
GCA_025398375.1,562,2021CK-00607,Complete Genome,1/11/21,USA,Homo sapiens,PRJNA812595,SAMN17815181,urine,Pathogen: clinical or host-associated sample from Escherichia coli,1/11/21,USA,human,USA_human_1/11/21
GCF_048402605.1,562,455,Complete Genome,5/21/19,Taiwan,Homo sapiens,PRJNA1196692,SAMN45628431,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/21/19,Taiwan,human,Taiwan_human_5/21/19
GCF_049354865.1,562,R18,Complete Genome,12/3/20,Taiwan,Homo sapiens,PRJNA1196872,SAMN45676304,sputum,Pathogen: clinical or host-associated sample from Escherichia coli,12/3/20,Taiwan,human,Taiwan_human_12/3/20
GCF_977064555.1,562,CNR20191027,Complete Genome,2019,Belgium,Homo sapiens,,SAMEA120421548,urine,E1,2019,Belgium,human,Belgium_human_2019
GCF_054720765.1,562,GIMC1409:EC_VCMCH3-12,Complete Genome,4/25/25,Russia:Moscow,Homo sapiens,PRJNA561493,SAMN54623320,urine,Pathogen: clinical or host-associated sample from Escherichia coli,4/25/25,Russia,human,Russia_human_4/25/25
GCF_049852265.1,562,XSLGL-2,Complete Genome,11/11/23,China,Homo sapiens,PRJNA1250923,SAMN47951825,physical,Pathogen: clinical or host-associated sample from Escherichia coli,11/11/23,China,human,China_human_11/11/23
GCF_029278625.2,562,C012_chr,Complete Genome,2015,China: Fujian,broiler,PRJNA942428,SAMN33688535,liver,Microbe sample from Escherichia coli,2015,China,non-human,China_non-human_2015
GCA_022557295.1,562,07spn,Complete Genome,3/19/21,Sudan,Homo sapiens,PRJNA806525,SAMN25990926,,S-P-N-007.02,3/19/21,Sudan,human,Sudan_human_3/19/21
GCA_024499115.1,562,CP52E,Complete Genome,6/10/17,Thailand: Bangkok,Homo sapiens,PRJNA731849,SAMN19296499,Anal swab,Microbe sample from Escherichia coli,6/10/17,Thailand,human,Thailand_human_6/10/17
GCF_003956385.1,562,600468,Complete Genome,4/22/08,Bangladesh,Homo sapiens,PRJNA421191,SAMN08161317,stool,Pathogen: clinical or host-associated sample from Escherichia coli,4/22/08,Bangladesh,human,Bangladesh_human_4/22/08
