accession,tax_id,strain,assembly_level,collection_date,geo_location,host,bioproject_id,biosample_id,source_type,title,year_clean,country_clean,host_clean,diversity_group
GCF_029962445.1,562,P4,Complete Genome,2016,Australia,Canis lupus familiaris,PRJNA718456,SAMN18536560,Uterus,Escherichia coli UPEC P4,2016,Australia,non-human,Australia_non-human_2016
GCA_022023755.1,562,IGC_RcoliRes_1.1,Complete Genome,2015-04,Portugal:Oeiras,Mus musculus (G2 mouse),PRJNA633524,SAMN15163749,not applicable,Microbe sample from Escherichia coli,2015,Portugal,non-human,Portugal_non-human_2015
GCF_054331815.1,562,FXCREC028,Complete Genome,5/8/18,China: Shanghai,Homo sapiens,PRJNA1394364,SAMN54320938,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/8/18,China,human,China_human_5/8/18
GCF_052975085.1,562,FXCREC004,Complete Genome,1/1/18,China: Shanghai,Homo sapiens,,SAMN49838005,physical,Escherichia coli FXCREC004 isolated from urine,1/1/18,China,human,China_human_1/1/18
GCA_025995675.1,562,61_150228,Complete Genome,12/27/14,Japan,Homo sapiens,PRJDB13729,SAMD00495933,,61_150228,12/27/14,Japan,human,Japan_human_12/27/14
GCF_013376575.1,562,ARL09/232,Complete Genome,2009,New Zealand,Homo sapiens,PRJNA611848,SAMN14351533,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2009,New Zealand,human,New Zealand_human_2009
GCA_003956425.1,562,504211,Complete Genome,2/22/10,India,Homo sapiens,PRJNA421191,SAMN08161312,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2/22/10,India,human,India_human_2/22/10
GCF_014131595.1,562,US03,Complete Genome,2015,Belgium: Antwerp,Homo sapiens,PRJNA592372,SAMN13423049,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2015,Belgium,human,Belgium_human_2015
GCA_002357875.1,562,MRY15-131,Complete Genome,2013,Japan,Bos taurus,PRJDB5007,SAMD00056132,,Escherichia coli str. MRY15-131,2013,Japan,non-human,Japan_non-human_2013
GCF_052887665.1,562,VTB97432v,Complete Genome,10/14/21,South Africa,Chicken,,SAMN41579944,,Microbe sample from Escherichia coli,10/14/21,South Africa,non-human,South Africa_non-human_10/14/21
GCF_025723205.1,562,RSHH22,Complete Genome,2019,Germany: Marburg,Mus musculus,PRJNA833279,SAMN27967421,,Microbe sample from Escherichia coli,2019,Germany,non-human,Germany_non-human_2019
GCF_024917995.1,562,3090,Complete Genome,10/27/16,USA: Houston,Homo sapiens,PRJNA836696,SAMN28174017,blood,Pathogen: clinical or host-associated sample from Escherichia coli,10/27/16,USA,human,USA_human_10/27/16
GCA_007998005.1,562,NCYU-29-19,Complete Genome,2017,Taiwan,Sus scrofa domesticus,PRJNA558860,SAMN12500849,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2017,Taiwan,non-human,Taiwan_non-human_2017
GCA_009873355.1,562,NCCP 15739,Complete Genome,7/19/10,South Korea: Busan,Homo sapiens,PRJNA555173,SAMN12302771,stool,Pathogen: clinical or host-associated sample from Escherichia coli,7/19/10,South Korea,human,South Korea_human_7/19/10
GCF_040529125.1,562,PKF4,Complete Genome,6/17/22,Pakistan: Faisalabad,Milvus migrans,PRJNA1112118,SAMN41414932,Wild birds,Pathogen: clinical or host-associated sample from Escherichia coli,6/17/22,Pakistan,non-human,Pakistan_non-human_6/17/22
GCF_010725305.1,562,E302,Complete Genome,12/1/15,Japan:Osaka,Homo sapiens,PRJDB6565,SAMD00186874,,whole genome sequence of E302,12/1/15,Japan,human,Japan_human_12/1/15
GCF_036500705.1,562,PSS-04,Complete Genome,2019,Ecuador:Puyo,Homo sapiens,PRJDB14867,SAMD00562521,feces,"Escherichia coli strain PSS-04, DNA, complete genome",2019,Ecuador,human,Ecuador_human_2019
GCF_040500385.1,562,8178,Complete Genome,2/10/23,Switzerland: Zurich,Mus musculus,PRJNA1096466,SAMN40757033,,Microbe sample from Escherichia coli,2/10/23,Switzerland,non-human,Switzerland_non-human_2/10/23
GCF_003018895.1,562,2014C-3057,Complete Genome,2013-05,USA,Homo sapiens,PRJNA218110,SAMN08579576,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2013,USA,human,USA_human_2013
GCA_024584825.1,562,SA31-1,Complete Genome,11/1/80,Thailand,Bubalus bubalis,PRJNA320137,SAMN04917424,unknown,type II ETEC,11/1/80,Thailand,non-human,Thailand_non-human_11/1/80
GCA_002764015.1,562,LS4,Complete Genome,3/1/15,"China:LaSa, XiZang",Bos mutus,PRJNA417204,SAMN07980822,,Microbe sample from Escherichia coli,3/1/15,China,non-human,China_non-human_3/1/15
GCF_050956525.1,562,TOE3,Complete Genome,2014,Myanmar,Homo sapiens,PRJNA681500,SAMN16955024,feces,Microbe sample from Escherichia coli,2014,Myanmar,human,Myanmar_human_2014
GCA_009577985.1,562,CCUG 73778,Complete Genome,12/18/08,Sweden:Gothenburg,Homo sapiens,PRJNA305687,SAMN12169096,blood,Microbe sample from Escherichia coli,12/18/08,Sweden,human,Sweden_human_12/18/08
GCA_028743555.1,562,B-1109,Complete Genome,8/5/21,USA,Homo sapiens,PRJNA933698,SAMN33246662,,Microbe sample from Escherichia coli,8/5/21,USA,human,USA_human_8/5/21
GCF_004377995.2,562,1517k,Complete Genome,2012-09,Paraguay,Gallus gallus domesticus,PRJNA513237,SAMN11130353,,Microbe sample from Escherichia coli,2012,Paraguay,non-human,Paraguay_non-human_2012
GCF_030295075.1,562,LR-50,Complete Genome,3/9/19,Ecuador:SantoDomingo,Homo sapiens,PRJDB8858,SAMD00439260,,Escherichia coli isolated from healthy human feces 2019Mar_LR50,3/9/19,Ecuador,human,Ecuador_human_3/9/19
GCF_022559875.1,562,LC-1302-2020,Complete Genome,11/9/20,Italy,Homo sapiens,PRJNA801146,SAMN25301092,rectal swab,Pathogen: clinical or host-associated sample from Escherichia coli,11/9/20,Italy,human,Italy_human_11/9/20
GCF_051991435.1,562,602687,Complete Genome,2009,Bangladesh,Homo sapiens,,SAMN48111086,stool,WGS of hybrid Escherichia coli isolate 602687,2009,Bangladesh,human,Bangladesh_human_2009
GCF_037081985.1,562,A1.S1.126,Complete Genome,10/13/21,Poland:Olsztyn,Homo sapiens,PRJNA1082105,SAMN40199713,urine,Pathogen: clinical or host-associated sample from Escherichia coli,10/13/21,Poland,human,Poland_human_10/13/21
GCF_006536085.2,562,NIPH17_0020,Complete Genome,2017,Cambodia:Phnom Penh,Homo sapiens,PRJDB6936,SAMD00164387,,Escherichia coli NIPH17_0020,2017,Cambodia,human,Cambodia_human_2017
GCA_008632575.1,562,AR216.2b,Complete Genome,7/18/17,Switzerland:Zurich,dog,PRJNA565187,SAMN12736390,Rectal swab,Microbe sample from Escherichia coli,7/18/17,Switzerland,non-human,Switzerland_non-human_7/18/17
GCF_048572635.1,562,AREA_497,Complete Genome,9/20/21,"USA: Georgia, Athens",Homo sapiens,PRJNA894544,SAMN33912506,stool,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,9/20/21,USA,human,USA_human_9/20/21
GCF_037938425.1,562,EP91B,Complete Genome,6/10/18,China: henan,pig,PRJNA1087160,SAMN40435416,,Microbe sample from Escherichia coli,6/10/18,China,non-human,China_non-human_6/10/18
GCF_054898225.1,562,CUVET24-IPD24,Complete Genome,2024-05,Thailand: Bangkok,Dog,,SAMN47927582,Feces/rectal swab,Microbe sample from Escherichia coli,2024,Thailand,non-human,Thailand_non-human_2024
GCA_018966785.1,562,MSI001,Complete Genome,10/12/16,China:Guangzhou,Mus musculus,PRJNA736706,SAMN19656307,,Microbe sample from Escherichia coli,10/12/16,China,non-human,China_non-human_10/12/16
GCF_041021965.1,562,72322051416_S37,Complete Genome,5/22/14,Denmark: Copenhagen,Poultry,PRJNA1123745,SAMN41822575,Liver/septicaemia,Pathogen: clinical or host-associated sample from Escherichia coli,5/22/14,Denmark,non-human,Denmark_non-human_5/22/14
GCF_003402955.1,562,cq9,Complete Genome,7/1/12,China:Chongqing,pig,PRJNA480178,SAMN09630238,feces,Microbe sample from Escherichia coli,7/1/12,China,non-human,China_non-human_7/1/12
GCA_029623635.1,562,ST3,Complete Genome,12/6/22,Italy: Verona,Homo sapiens,PRJNA948410,SAMN33902174,blood,Pathogen: clinical or host-associated sample from Escherichia coli,12/6/22,Italy,human,Italy_human_12/6/22
GCF_003956185.1,562,504237,Complete Genome,3/22/10,India,Homo sapiens,PRJNA421191,SAMN08161313,stool,Pathogen: clinical or host-associated sample from Escherichia coli,3/22/10,India,human,India_human_3/22/10
GCF_044094645.1,562,EcN_Sk,Complete Genome,2020,Germany:Herdecke,Homo sapiens,PRJNA1176130,SAMN44381029,stool,Microbe sample from Escherichia coli,2020,Germany,human,Germany_human_2020
GCA_013201525.1,562,,Complete Genome,2006,Portugal,Wild boar,PRJEB36175,SAMEA6471236,Wild boar,J31,2006,Portugal,non-human,Portugal_non-human_2006
GCA_021398035.1,562,E-T67-1,Complete Genome,2020,China,Homo sapiens,PRJNA792053,SAMN24394358,,Microbe sample from Escherichia coli,2020,China,human,China_human_2020
GCF_045344725.1,562,Z1323HEC0355,Complete Genome,5/15/23,South Korea,Homo sapiens,PRJNA1087359,SAMN40441596,,Microbe sample from Escherichia coli,5/15/23,South Korea,human,South Korea_human_5/15/23
GCA_009867035.3,562,CFS3313,Complete Genome,1/20/10,France,Bos taurus,PRJNA433820,SAMN08522770,Bovine adult,Microbe sample from Escherichia coli,1/20/10,France,non-human,France_non-human_1/20/10
GCA_030028135.1,562,HE_100-10,Complete Genome,2019-10,Canada,laboratory,PRJNA892151,SAMN31370359,,Microbe sample from Escherichia coli,2019,Canada,non-human,Canada_non-human_2019
GCF_040939515.1,562,2-C14-1,Complete Genome,7/31/22,China:Chengdu,cat,PRJNA1082906,SAMN40221275,feces,Microbe sample from Escherichia coli,7/31/22,China,non-human,China_non-human_7/31/22
GCA_023516095.1,562,19SZHZ663Rt,Complete Genome,7/27/19,China:Shenzhen,Homo sapiens,PRJNA748549,SAMN20339663,Human feces,tet(X4)-positive Escherichia coli isolated from human,7/27/19,China,human,China_human_7/27/19
GCA_025778775.2,562,2022CK-00559,Complete Genome,4/5/22,USA,Homo sapiens,PRJNA288601,SAMN31390131,Wound/Abscess,Pathogen: clinical or host-associated sample from Escherichia coli,4/5/22,USA,human,USA_human_4/5/22
GCA_001682305.2,562,EC590,Complete Genome,8/18/13,Malaysia,Homo sapiens,PRJNA325730,SAMN05252777,urine,Pathogen: clinical or host-associated sample from Escherichia coli,8/18/13,Malaysia,human,Malaysia_human_8/18/13
GCF_015139375.1,562,THO-010,Complete Genome,6/20/18,Japan:Tokyo,Homo sapiens,PRJDB9036,SAMD00196008,,Escherichia coli str. THO-010,6/20/18,Japan,human,Japan_human_6/20/18
GCF_013167555.1,83334,Gim1-1,Complete Genome,1999,USA:Nebraska,cattle,PRJNA528413,SAMN05360205,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1999,USA,non-human,USA_non-human_1999
GCA_016835015.1,83334,FLT_2004G,Complete Genome,2004,USA:Nebraska,cattle,PRJNA627032,SAMN14648857,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2004,USA,non-human,USA_non-human_2004
GCA_016834715.1,83334,FLT_2012I,Complete Genome,2012,USA:Nebraska,cattle,PRJNA627032,SAMN14648870,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2012,USA,non-human,USA_non-human_2012
GCF_001651965.2,83334,FRIK2455,Complete Genome,2011-07-20,USA: FL,Bos taurus,PRJNA322195,SAMN04531998,fecal steer,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2011,USA,non-human,USA_non-human_2011
GCF_013168095.1,83334,86-24,Complete Genome,1986,USA:Washington,Homo sapiens,PRJNA528413,SAMN11229497,missing,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1986,USA,human,USA_human_1986
GCA_016834835.1,83334,FLT_2009D,Complete Genome,2009,USA:Nebraska,cattle,PRJNA627032,SAMN14648864,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2009,USA,non-human,USA_non-human_2009
GCA_016834915.1,83334,FLT_2006I,Complete Genome,2006,USA:Nebraska,cattle,PRJNA627032,SAMN14648860,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2006,USA,non-human,USA_non-human_2006
GCF_021184105.1,83334,M1300706002,Complete Genome,2013,USA: Minnesota,Homo sapiens,PRJNA750123,SAMN20437425,fecal sample from patient,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2013,USA,human,USA_human_2013
GCF_017164995.1,83334,Z1813,Complete Genome,2002,United Kingdom,Homo sapiens,PRJNA666790,SAMN16327604,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2002,United Kingdom,human,United Kingdom_human_2002
GCF_009650175.1,83334,ATCC 43890,Complete Genome,1987,USA:CA,Homo sapiens,PRJNA541972,SAMN10574722,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1987,USA,human,USA_human_1987
GCA_005037735.2,83334,FWSEC0004,Complete Genome,1987,"Canada:Ontario,Toronto",Homo sapiens,PRJNA287560,SAMN08768105,Clinical: Human (Homo sapiens),Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1987,Canada,human,Canada_human_1987
GCF_013168035.1,83334,DEC4E,Complete Genome,1988,Denmark,Homo sapiens,PRJNA528413,SAMN11229482,missing,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1988,Denmark,human,Denmark_human_1988
GCF_013167275.1,83334,SS TX 754-1,Complete Genome,2000,USA:Texas,cattle,PRJNA528413,SAMN05360237,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCA_016834975.1,83334,FLT_2001A,Complete Genome,2001,USA:Nebraska,cattle,PRJNA627032,SAMN14648855,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2001,USA,non-human,USA_non-human_2001
GCF_013168115.1,83334,493/89,Complete Genome,1989,Germany,Homo sapiens,PRJNA528413,SAMN11229500,missing,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1989,Germany,human,Germany_human_1989
GCA_016835075.1,83334,FLT_1997A,Complete Genome,1997,USA:Nebraska,cattle,PRJNA627032,SAMN14648851,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1997,USA,non-human,USA_non-human_1997
GCF_021166395.1,83334,6535WT,Complete Genome,2006,USA: Minnesota,Homo sapiens,PRJNA750123,SAMN20437362,fecal sample,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2006,USA,human,USA_human_2006
GCF_015353135.1,83334,Wll001,Complete Genome,2015-11,China: Wuhan,Homo sapiens,PRJNA668453,SAMN16409547,,Microbe sample from Escherichia coli O157:H7,2015,China,human,China_human_2015
GCF_022558925.1,996639,EC10,Complete Genome,2016-07-25,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904654,urine,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7 str. EC10,2016,China,human,China_human_2016
GCA_016834695.1,83334,FLT_2018C,Complete Genome,2018,USA:Nebraska,cattle,PRJNA627032,SAMN14648871,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2018,USA,non-human,USA_non-human_2018
GCF_029962285.1,155864,EDL933,Complete Genome,2018-02-28,China,Homo sapiens,PRJNA963085,SAMN34435701,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7 str. EDL933,2018,China,human,China_human_2018
GCF_001695515.1,83334,FRIK944,Complete Genome,2014-09-16,USA:FL,Bos taurus,PRJNA322195,SAMN04510563,calf feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2014,USA,non-human,USA_non-human_2014
GCA_016834875.1,83334,FLT_2008D,Complete Genome,2008,USA:Nebraska,cattle,PRJNA627032,SAMN14648862,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2008,USA,non-human,USA_non-human_2008
GCA_016834675.1,83334,FLT_2019B,Complete Genome,2019,USA:Nebraska,cattle,PRJNA627032,SAMN14648872,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2019,USA,non-human,USA_non-human_2019
GCA_016834895.1,83334,FLT_2007G,Complete Genome,2007,USA:Nebraska,cattle,PRJNA627032,SAMN14648861,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2007,USA,non-human,USA_non-human_2007
GCA_016834995.1,83334,FLT_2002D,Complete Genome,2002,USA:Nebraska,cattle,PRJNA627032,SAMN14648856,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCA_016834775.1,83334,FLT_2010I,Complete Genome,2010,USA:Nebraska,cattle,PRJNA627032,SAMN14648867,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2010,USA,non-human,USA_non-human_2010
GCF_009627495.1,83334,TT12B,Complete Genome,1994-10-25,Japan: Yokosuka,Homo sapiens,PRJNA530317,SAMN11310481,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1994,Japan,human,Japan_human_1994
GCA_016834955.1,83334,FLT_2005F,Complete Genome,2005,USA:Nebraska,cattle,PRJNA627032,SAMN14648858,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2005,USA,non-human,USA_non-human_2005
GCF_017165155.1,83334,Z1626,Complete Genome,2014,United Kingdom,Homo sapiens,PRJNA666790,SAMN16327596,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2014,United Kingdom,human,United Kingdom_human_2014
GCF_000008865.2,386585,Sakai substr. RIMD 0509952,Complete Genome,1996,"Japan: Sakai City, Osaka prefecture",Homo sapiens,PRJNA226,SAMN01911278,Human intestinal microflora,"Bacterial, clinical or host-associated sample for Escherichia coli O157:H7 str. SAKAI (EHEC)",1996,Japan,human,Japan_human_1996
GCF_025252445.1,83334,380-94,Complete Genome,1994,USA,Homo sapiens,PRJNA294158,SAMN30166759,clinical isolate,Microbe sample from Escherichia coli O157:H7,1994,USA,human,USA_human_1994
GCA_016835095.1,83334,FLT_1998F,Complete Genome,1998,USA:Nebraska,cattle,PRJNA627032,SAMN14648852,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1998,USA,non-human,USA_non-human_1998
GCF_001558995.2,83334,JEONG-1266,Complete Genome,2013-08-13,USA:FL,Bos taurus,PRJNA322195,SAMN04191546,fecal beef calf,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2013,USA,non-human,USA_non-human_2013
GCF_001651925.2,83334,FRIK2069,Complete Genome,2011-07-20,USA:FL,Bos taurus,PRJNA322195,SAMN04191551,feces (Bos taurus),Pathogen: environmental/food/other sample from Escherichia coli,2011,USA,non-human,USA_non-human_2011
GCF_013167355.1,83334,OK1,Complete Genome,1996,Japan:Okayama,Homo sapiens,PRJNA528413,SAMN11229501,missing,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1996,Japan,human,Japan_human_1996
GCA_016835055.1,83334,FLT_2000A,Complete Genome,2000,USA:Nebraska,cattle,PRJNA627032,SAMN14648854,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCF_021166415.1,83334,6535NalR,Complete Genome,2013,USA: Minnesota,Homo sapiens,PRJNA750123,SAMN20437390,laboratory mutant of 6535,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2013,USA,human,USA_human_2013
GCA_016834935.1,83334,FLT_2006A,Complete Genome,2006,USA:Nebraska,cattle,PRJNA627032,SAMN14648859,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2006,USA,non-human,USA_non-human_2006
GCA_016834815.1,83334,FLT_2010E,Complete Genome,2010,USA:Nebraska,cattle,PRJNA627032,SAMN14648866,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2010,USA,non-human,USA_non-human_2010
GCF_013167335.1,83334,Show KS 470-1,Complete Genome,1999,USA:Kansas,cattle,PRJNA528413,SAMN05360225,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1999,USA,non-human,USA_non-human_1999
GCF_005037735.1,83334,FWSEC0004,Complete Genome,1987,"Canada:Ontario,Toronto",Homo sapiens,PRJNA287560,SAMN08768105,Clinical: Human (Homo sapiens),Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1987,Canada,human,Canada_human_1987
GCA_016834855.1,83334,FLT_2009B,Complete Genome,2009,USA:Nebraska,cattle,PRJNA627032,SAMN14648863,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2009,USA,non-human,USA_non-human_2009
GCF_017165015.1,83334,Z1812,Complete Genome,2002,United Kingdom,Homo sapiens,PRJNA666790,SAMN16327603,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2002,United Kingdom,human,United Kingdom_human_2002
GCF_007922655.1,83334,ATCC 43888,Complete Genome,1986,USA,Homo sapiens,PRJNA294158,SAMN12261986,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1986,USA,human,USA_human_1986
GCF_017357545.1,83334,TT12A,Complete Genome,1994-10-25,Japan: Yokosuka,Homo sapiens,PRJNA530317,SAMN11310480,feces,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,1994,Japan,human,Japan_human_1994
GCF_013167155.1,83334,YB14-1,Complete Genome,2002,USA:Nebraska,cattle,PRJNA528413,SAMN05360245,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCF_021184125.1,83334,M1300706001A,Complete Genome,2013,USA: Washington State,Homo sapiens,PRJNA750123,SAMN20437332,fecal sample from patient,Pathogen: clinical or host-associated sample from Escherichia coli O157:H7,2013,USA,human,USA_human_2013
GCA_016835035.1,83334,FLT_1999G,Complete Genome,1999,USA:Nebraska,cattle,PRJNA627032,SAMN14648853,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1999,USA,non-human,USA_non-human_1999
GCF_013167475.1,83334,N8B7-2,Complete Genome,2002,USA:Nebraska,cattle,PRJNA528413,SAMN05360221,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCA_016834635.1,83334,FLT_2010G,Complete Genome,2010,USA:Nebraska,cattle,PRJNA627032,SAMN14648873,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2010,USA,non-human,USA_non-human_2010
GCF_013167435.1,83334,NE 1169-1,Complete Genome,2000,USA:Nebraska,cattle,PRJNA528413,SAMN05360232,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCA_016834755.1,83334,FLT_2011B,Complete Genome,2011,USA:Nebraska,cattle,PRJNA627032,SAMN14648868,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2011,USA,non-human,USA_non-human_2011
GCA_016834795.1,83334,FLT_2010A,Complete Genome,2010,USA:Nebraska,cattle,PRJNA627032,SAMN14648865,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2010,USA,non-human,USA_non-human_2010
GCF_013167175.1,83334,TX 376-2,Complete Genome,2000,USA:Texas,cattle,PRJNA528413,SAMN05360243,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCF_013168175.1,83334,2-6-2,Complete Genome,1999,USA:Nebraska,cattle,PRJNA528413,SAMN05360202,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1999,USA,non-human,USA_non-human_1999
GCA_016834735.1,83334,FLT_2011E,Complete Genome,2011,USA:Nebraska,cattle,PRJNA627032,SAMN14648869,feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2011,USA,non-human,USA_non-human_2011
GCF_013167235.1,83334,TB21-1,Complete Genome,2002,USA:Nebraska,cattle,PRJNA528413,SAMN05360240,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCF_013168055.1,83334,BB24-1,Complete Genome,2002,USA:Louisiana,cattle,PRJNA528413,SAMN05360196,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCF_013168155.1,83334,3-5-1,Complete Genome,1999,USA:Nebraska,cattle,PRJNA528413,SAMN05360204,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,1999,USA,non-human,USA_non-human_1999
GCF_013167455.1,83334,NE 1092-2,Complete Genome,2000,USA:Nebraska,cattle,PRJNA528413,SAMN05360231,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCF_013168135.1,83334,17B6-2,Complete Genome,2002,USA:Ohio,cattle,PRJNA528413,SAMN05360191,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2002,USA,non-human,USA_non-human_2002
GCF_013167295.1,83334,SS TX 313-1,Complete Genome,2000,USA:Texas,cattle,PRJNA528413,SAMN05360235,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCF_013167195.1,83334,TX 265-1,Complete Genome,2000,USA:Texas,cattle,PRJNA528413,SAMN05360242,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
GCF_013167315.1,83334,SS NE 1040-1,Complete Genome,2000,USA:Nebraska,cattle,PRJNA528413,SAMN05360230,cattle feces,Pathogen: environmental/food/other sample from Escherichia coli O157:H7,2000,USA,non-human,USA_non-human_2000
